tipo_muerte,zona,subzona,distrito,circuito,codigo_subcircuito,subcircuito,provincia,codigo_provincia,canton,codigo_canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,fecha_infraccion,hora_infraccion,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,edad,medida_edad,sexo,genero,etnia,estado_civil,nacionalidad,discapacidad,profesion_registro_civil,instruccion
ASESINATO,ZONA 7,EL ORO,MACHALA,19 DE NOVIEMBRE,07D02C08S01,19 DE NOVIEMBRE 1,EL ORO,07,MACHALA,0701,-3.24689,-79.96497,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,17:00:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,20,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILL. EN CIENCIAS,SIN_DATO
ASESINATO,ZONA 2,ORELLANA,ORELLANA LORETO,COCA ORIENTE,22D02C04S02,COCA ORIENTE 2,ORELLANA,22,ORELLANA,2201,-0.47299,-76.9844,URBANO,RESTAURANTE,PRIVADO,2025-01-01 00:00:00,16:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,33,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,EMPLEADO,SIN_DATO
HOMICIDIO,ZONA 3,COTOPAXI,SALCEDO,SALCEDO,05D06C02S02,SALCEDO 2,COTOPAXI,05,SALCEDO,0505,-1.04283,-78.58567,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,16:00:00,ARMA BLANCA,CUCHILLO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,37,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BOMBERO,SIN_DATO
ASESINATO,ZONA 7,EL ORO,PASAJE,LAS PRADERAS,07D01C09S01,LAS PRADERAS 1,EL ORO,07,PASAJE,0709,-3.33266,-79.80879,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,18:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,33,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,AYUDANTE,BACHILLERATO
ASESINATO,ZONA 7,EL ORO,PASAJE,LAS PRADERAS,07D01C09S01,LAS PRADERAS 1,EL ORO,07,PASAJE,0709,-3.33266,-79.80879,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,18:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,40,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,COMERCIANTE,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,ESTEROS,TRINITARIA SUR,09D02C05S02,TRINITARIA SUR 2,GUAYAS,09,GUAYAQUIL,0901,-2.24573,-79.91888,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,12:15:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,35,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ELECTRICISTA,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,FORTIN,09D08C02S04,FORTIN 4,GUAYAS,09,GUAYAQUIL,0901,-2.11678,-79.96706,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,15:30:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,34,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,MILITAR,BASICA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,MODELO,GUAYACANES,09D05C03S03,GUAYACANES 3,GUAYAS,09,GUAYAQUIL,0901,-2.11853,-79.88576,URBANO,CASA/VILLA,PRIVADO,2025-01-01 00:00:00,19:30:00,ARMA BLANCA,CORTO PUNZANTE,VIOLENCIA INTRAFAMILIAR,SENTIMENTAL,HERIDA POR ARMA BLANCA,35,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,VENEZUELA,NINGUNA,LAS PERMI.POR.LA.LEY,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,FORTIN,09D08C02S02,FORTIN 2,GUAYAS,09,GUAYAQUIL,0901,-2.11317,-79.95355,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,08:15:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,25,A,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,ECUADOR,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR - DMG,7 LAGOS,09D01C04S01,7 LAGOS 1,GUAYAS,09,GUAYAQUIL,0901,-2.25073,-79.88006,URBANO,CASA/VILLA,PRIVADO,2025-01-01 00:00:00,20:00:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,34,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,JORNALERO,BASICA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,PARAISO LA FLOR,09D08C03S04,PARAISO LA FLOR 4,GUAYAS,09,GUAYAQUIL,0901,-2.10072,-79.96241,URBANO,CASA/VILLA,PRIVADO,2025-01-01 00:00:00,20:30:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,18,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,NINGUNA,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PASCUALES,ORQUIDEAS,09D07C05S07,ORQUIDEAS 7,GUAYAS,09,GUAYAQUIL,0901,-2.08468,-79.91317,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,02:50:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,31,A,HOMBRE,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 4,MANABI,PORTOVIEJO,EL FLORON,13D01C04S02,EL FLORON 2,MANABI,13,PORTOVIEJO,1301,-1.05572,-80.48624,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,22:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,22,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 1,ESMERALDAS,ESMERALDAS,EL ARENAL,08D01C05S01,EL ARENAL 1,ESMERALDAS,08,ESMERALDAS,0801,0.98598,-79.65791,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,01:40:00,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,45,A,HOMBRE,MASCULINO,AFRO,SOLTERO,ECUADOR,NINGUNA,BACH.TEC.COMER-ADMI.,SIN_DATO
ASESINATO,ZONA 1,ESMERALDAS,ESMERALDAS,EL ARENAL,08D01C05S01,EL ARENAL 1,ESMERALDAS,08,ESMERALDAS,0801,0.98598,-79.65791,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,01:40:00,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,47,A,HOMBRE,MASCULINO,AFRO,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 1,ESMERALDAS,ESMERALDAS,SANTA MARTHA,08D01C12S01,SANTA MARTHA 1,ESMERALDAS,08,ESMERALDAS,0801,0.96835,-79.64982,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,18:15:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,33,A,HOMBRE,MASCULINO,AFRO,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 5,LOS RIOS,VINCES,PALENQUE,12D05C11S01,PALENQUE 1,LOS RIOS,12,PALENQUE,1209,-1.3334,-79.78548,RURAL,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,12:30:00,ARMA DE FUEGO,ESCOPETA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,YAGUACHI,VIRGEN DE FATIMA,09D21C04S01,VIRGEN DE FATIMA 1,GUAYAS,09,SAN JACINTO DE YAGUACHI,0920,-2.25092,-79.6363,RURAL,CASA/VILLA,PRIVADO,2025-01-01 00:00:00,22:50:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,29,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,EMPLEADO PRIVADO,SIN_DATO
ASESINATO,ZONA 4,MANABI,ROCAFUERTE,BACHILLERO,13D12C05S02,BACHILLERO 2,MANABI,13,TOSAGUA,1315,-0.7336,-80.1926,RURAL,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,13:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,ROBO EN EJES VIALES O CARRETERAS,HERIDA POR ARMA DE FUEGO,20,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,YAGUACHI,YAGUACHI NORTE,09D21C02S01,YAGUACHI NORTE 1,GUAYAS,09,SAN JACINTO DE YAGUACHI,0920,-2.09484,-79.68859,RURAL,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,07:50:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,ROBO DE MOTOS,HERIDA POR ARMA DE FUEGO,26,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,FLOR DE BASTION,09D08C04S01,FLOR DE BASTION 1,GUAYAS,09,GUAYAQUIL,0901,-2.08621,-79.9564,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,12:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,55,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,SOLDADOR,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,ESTEROS,TRINITARIA SUR,09D02C05S04,TRINITARIA SUR 4,GUAYAS,09,GUAYAQUIL,0901,-2.24442,-79.92884,URBANO,CASA/VILLA,PRIVADO,2025-01-02 00:00:00,16:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,40,A,HOMBRE,MASCULINO,OTROS,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,ESPECIAL
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PORTETE,CISNE,09D04C01S02,CISNE 2,GUAYAS,09,GUAYAQUIL,0901,-2.22572,-79.9242,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,14:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,17,A,MUJER,FEMENINO,AFRO,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PASCUALES,SAN FRANCISCO,09D07C07S02,SAN FRANCISCO 2,GUAYAS,09,GUAYAQUIL,0901,-2.07047,-79.94673,URBANO,VIA PUBLICA,PUBLICO,2025-01-03 00:00:00,02:00:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,14,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,NINGUNA,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,FLORIDA,MARTHA DE ROLDOS,09D06C02S05,MARTHA DE ROLDOS 5,GUAYAS,09,GUAYAQUIL,0901,-2.1431,-79.92816,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,01:00:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,FLORIDA,MARTHA DE ROLDOS,09D06C02S05,MARTHA DE ROLDOS 5,GUAYAS,09,GUAYAQUIL,0901,-2.1431,-79.92816,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,01:00:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,26,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,DAULE,JUAN BAUTISTA AGUIRRE,09D19C02S02,JUAN BAUTISTA AGUIRRE 2,GUAYAS,09,DAULE,0906,-2.05663,-79.87585,URBANO,OTROS LOCALES COMERCIALES,PRIVADO,2025-01-02 00:00:00,00:10:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,28,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,BASICA
ASESINATO,ZONA 4,MANABI,MANTA,JARAMIJO,13D02C20S01,JARAMIJO 1,MANABI,13,JARAMIJO,1321,-0.9606,-80.63936,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,21:29:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,41,A,HOMBRE,MASCULINO,MESTIZO/A,DIVORCIADO,ECUADOR,NINGUNA,PESCADOR,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,FLORIDA,SAMANES,09D06C03S03,SAMANES 3,GUAYAS,09,GUAYAQUIL,0901,-2.11755,-79.91206,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,22:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,46,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,JORNALERO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,FLORIDA,SAMANES,09D06C03S03,SAMANES 3,GUAYAS,09,GUAYAQUIL,0901,-2.11755,-79.91206,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,22:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,19,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,YAGUACHI,CONE,09D21C05S01,CONE 1,GUAYAS,09,SAN JACINTO DE YAGUACHI,0920,-2.20337,-79.68469,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,20:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,33,A,MUJER,FEMENINO,MESTIZO/A,CASADO,ECUADOR,NINGUNA,BACHILLER,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PASCUALES,PASCUALES,09D07C06S02,PASCUALES 2,GUAYAS,09,GUAYAQUIL,0901,-2.07103,-79.92891,URBANO,VIA PUBLICA,PUBLICO,2025-01-03 00:00:00,06:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,16,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,NINGUNA,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PASCUALES,PASCUALES,09D07C06S02,PASCUALES 2,GUAYAS,09,GUAYAQUIL,0901,-2.07103,-79.92891,URBANO,VIA PUBLICA,PUBLICO,2025-01-03 00:00:00,06:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,18,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,DURAN,DIVINO NINO,09D24C06S01,DIVINO NINO 1,GUAYAS,09,DURAN,0907,-2.17207,-79.82097,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,21:25:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,33,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 4,MANABI,MANTA,LA PRADERA,13D02C02S03,LA PRADERA 3,MANABI,13,MANTA,1308,-0.98095,-80.68601,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,21:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,45,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,DURAN,LIGA CANTONAL,09D24C08S02,LIGA CANTONAL 2,GUAYAS,09,DURAN,0907,-2.16294,-79.83638,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,23:40:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,15,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,NINGUNA,SIN_DATO
ASESINATO,ZONA 5,LOS RIOS,VENTANAS,QUINSALOMA,12D04C07S01,QUINSALOMA 1,LOS RIOS,12,QUINSALOMA,1213,-1.2048,-79.31211,RURAL,VIA PUBLICA,PUBLICO,2025-01-03 00:00:00,07:50:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,39,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,EMPLEADO PRIVADO,SIN_DATO
ASESINATO,ZONA 7,EL ORO,MACHALA,WILSON FRANCO,07D02C18S01,WILSON FRANCO 1,EL ORO,07,MACHALA,0701,-3.26313,-79.99472,URBANO,VIA PUBLICA,PUBLICO,2025-01-02 00:00:00,08:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,28,A,HOMBRE,MASCULINO,AFRO,NO DETERMINADO,ECUADOR,NINGUNA,SIN_DATO,SIN_DATO
HOMICIDIO,ZONA 8,D.M. GUAYAQUIL,9 DE OCTUBRE,GARAY,09D03C04S02,GARAY 2,GUAYAS,09,GUAYAQUIL,0901,-2.19299,-79.89338,URBANO,VIA PUBLICA,PUBLICO,2025-01-03 00:00:00,09:45:00,OTROS,NINGUNA,DELINCUENCIA COMUN,AMENAZA,ESTRANGULACION,25,A,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
